,SK_ID_CURR,TARGET
0,100001,0.06505115350365899
1,100005,0.1264008628620721
2,100013,0.0812388348175381
3,100028,0.06150936361445509
4,100038,0.1283076432624614
5,100042,0.055893562654302606
6,100057,0.08303505659957822
7,100065,0.12547014945404755
8,100066,0.050359062441853036
9,100067,0.10329456967704863
10,100074,0.06324561358749248
11,100090,0.11512749959390196
12,100091,0.11715822104511232
13,100092,0.09810110738049091
14,100106,0.15582105555336911
15,100107,0.11181272003296602
16,100109,0.09856982364431124
17,100117,0.07621643925456385
18,100128,0.07349350185004867
19,100141,0.08792808085047804
20,100150,0.07549698001080198
21,100168,0.0649948468652681
22,100169,0.044324958226132326
23,100170,0.08690339091889712
24,100171,0.09982796639888074
25,100172,0.12153726652090688
26,100184,0.07391717210447457
27,100187,0.06173908150778883
28,100212,0.08580741486609235
29,100222,0.08476303380360346
30,100223,0.06309495139766638
31,100232,0.07324641756621235
32,100241,0.14118941603018167
33,100245,0.07944665703269002
34,100253,0.06144341107720482
35,100256,0.0945055225006066
36,100271,0.05483319047297365
37,100278,0.10646984965464187
38,100280,0.07066897821557809
39,100306,0.15388845599462242
40,100311,0.10708583173122707
41,100312,0.0635420641177886
42,100330,0.07495907404325676
43,100331,0.08947734436037078
44,100352,0.09284457873378961
45,100358,0.09300646295957904
46,100367,0.08562889481562194
47,100382,0.08528106471159597
48,100384,0.07421528114337468
49,100385,0.11568043013464611
50,100386,0.09037798935695132
51,100399,0.07180169163277553
52,100404,0.06926376142877252
53,100416,0.07177980818878776
54,100422,0.12102744691321068
55,100426,0.0794346542050855
56,100438,0.06845415904714301
57,100444,0.11472582332051413
58,100445,0.12338752376867879
59,100446,0.11718791412933058
60,100447,0.06484685933662429
61,100450,0.07368489794081402
62,100466,0.08577776882932904
63,100483,0.07288528331888565
64,100484,0.052560838077373696
65,100494,0.08403868913148663
66,100510,0.1255061236427396
67,100512,0.05955091684647275
68,100517,0.06955169980080028
69,100548,0.0583637054074332
70,100551,0.07007066447882383
71,100552,0.1256188788202177
72,100553,0.08592070699338522
